step,k,minCalibratedJointProbability,maxLegs,maxCombinedOdds,capMin,capMax,recencyWeighting,nLeagueMin,includeConf,trainCoupons,trainHitRate,trainRoi,testCoupons,testHitRate,testRoi,testMaxDrawdown,verdict
1,10,0.45,3,6,0.15,0.8,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.15,0.85,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.45,3,6,0.15,0.9,"flat",15,true,746,0.450402144772118,1.0199349865951752,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,20,0.25,3,6,0.05,0.8,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.05,0.85,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.05,0.9,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.1,0.8,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.1,0.85,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.1,0.9,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.15,0.8,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.15,0.85,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.25,3,6,0.15,0.9,"flat",15,true,1337,0.45400149588631267,0.9752225878833165,99,0.5151515151515151,0.5964959595959597,7,"PASS"
1,20,0.3,3,6,0.05,0.8,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.05,0.85,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.05,0.9,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.1,0.8,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.1,0.85,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.1,0.9,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.15,0.8,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.15,0.85,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.3,3,6,0.15,0.9,"flat",15,true,1301,0.4565718677940046,0.9839508839354308,98,0.5102040816326531,0.5544193877551022,7,"PASS"
1,20,0.35,3,6,0.05,0.8,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.05,0.85,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.05,0.9,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.1,0.8,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.1,0.85,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.1,0.9,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.15,0.8,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.15,0.85,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.35,3,6,0.15,0.9,"flat",15,true,1248,0.45753205128205127,0.9896603365384595,96,0.5,0.5058135416666668,7,"PASS"
1,20,0.4,3,6,0.05,0.8,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.05,0.85,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.05,0.9,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
1,20,0.4,3,6,0.1,0.8,"flat",15,true,1089,0.46097337006427913,1.027127272727274,91,0.4945054945054945,0.4907373626373628,7,"PASS"
